,ID,RELATED_ID,YEAR,MONTH,DAY,DPTOMPIO,MPIO_CNMBR,DEPARTMENT,REGION,MODALITY,RESPONSIBLE,RESPONSIBLE_DESCRIPTION,LAND_DISPOSSESSION,THREAT,MEDICAL_MISSION,CONFINEMENT,DISPLACEMENT,EXTORTION,INJURIES,PLUNDER,TORTURE,GENDER_VIOLENCE,SIMULTANEOUS_EVENT,VICTIMS,WEAPONS,LAT,LON
3694,292565,,2014,5,17,52356,IPIALES,NARIÑO,SUR DE NARIÑO,FALSE POSITIVE,STATE AGENT,EJÉRCITO NACIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,0.8277342414,-77.6464007453
3695,292566,,2014,12,12,05031,AMALFI,ANTIOQUIA,NORDESTE ANTIOQUEÑO,UNKNOWN,UNKNOWN,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,FIREARM,6.9123047264,-75.0825242787
3696,292567,,2014,12,14,52079,BARBACOAS,NARIÑO,ANDEN PACIFICO SUR,INTERCEPTION,GUERRILLA,FARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,FIREARM,1.3623769638,-78.1940225851
3697,292568,,2015,2,27,05604,REMEDIOS,ANTIOQUIA,NORDESTE ANTIOQUEÑO,RETENTION/EXECUTION,POST-DEMOBILIZATION GROUP,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,NOT AVAILABLE,7.0260940527,-74.695944258
3698,292569,CR008075,2015,3,22,13006,ACHI,BOLIVAR,LA MOJANA,UNKNOWN,POST-DEMOBILIZATION GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,4.0,BLADE WEAPONS - FIREARM,8.4801037653,-74.4339277089
3699,292570,,2015,4,15,19780,SUAREZ,CAUCA,NORTE DEL CAUCA,RETENTION/EXECUTION,UNIDENTIFIED ARMED GROUP,PRESENCIA GAO SIN ATRIBUCIÓN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,FIREARM,2.9597015369,-76.6934471137
3700,292571,,2015,4,30,66318,GUATICA,RISARALDA,EJE CAFETERO,CONTRACT KILLING,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,5.3162095122,-75.7993627966
3701,292572,,2015,10,16,05854,VALDIVIA,ANTIOQUIA,NORTE DE ANTIOQUIA,ASSAULT,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,NOT AVAILABLE,7.1653399998,-75.4391984392
3702,292573,,2015,10,22,13810,TIQUISIO,BOLIVAR,MAGDALENA MEDIO,ASSAULT,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,4.0,FIREARM,8.6414827807,-74.2165992699
3703,292574,,2016,2,23,05736,SEGOVIA,ANTIOQUIA,NORDESTE ANTIOQUEÑO,ASSAULT,POST-DEMOBILIZATION GROUP,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,4.0,NOT AVAILABLE,7.0796396792,-74.7015910715
3704,292575,,2016,11,4,54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,INDISCRIMINATE ATTACK,POST-DEMOBILIZATION GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,10.0,FIREARM,7.8474874315,-72.4700673416
3705,292576,,2016,11,8,54810,TIBU,NORTE DE SANTANDER,CATATUMBO,RETENTION/EXECUTION,GUERRILLA,ELN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,8.4905161132,-72.6397036326
3706,320146,,2003,3,16,47288,FUNDACION,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ASSAULT,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,10.5140924032,-74.1913434578
3707,322146,,1999,11,26,05649,SAN CARLOS,ANTIOQUIA,ORIENTE ANTIOQUEÑO,ROUTE,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,OCULTAMIENTO DE CADÁVER,7.0,FIREARM,6.2526780554,-74.8302005758
3708,364719,,2000,11,1,85015,CHAMEZA,CASANARE,PIEDEMONTE LLANERO,RETENTION/EXECUTION,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,5.0,NOT AVAILABLE,5.2143117495,-72.8702355842
